DATA,SESSAO,HORA,PRECO_PT,PRECO_ES
4/08/2015,2,8,42.1,42.1
4/08/2015,2,9,46.1,46.1
4/08/2015,2,10,60.52,60.52
4/08/2015,2,11,62.89,62.89
4/08/2015,2,12,61.61,61.61
4/08/2015,2,13,64.55,64.55
4/08/2015,2,14,66.96,66.96
4/08/2015,2,15,66.08,66.08
4/08/2015,2,16,65.65,65.65
4/08/2015,2,17,65.46,65.46
4/08/2015,2,18,65.68,65.68
4/08/2015,2,19,65.79,65.79
4/08/2015,2,20,63.71,63.71
4/08/2015,2,21,63.98,63.98
4/08/2015,2,22,66.84,66.84
4/08/2015,2,23,65.17,65.17
4/08/2015,2,24,60.68,60.68
4/08/2015,3,5,43.11,43.11
4/08/2015,3,6,43.05,43.05
4/08/2015,3,7,43.34,43.34
4/08/2015,3,8,48.36,48.36
4/08/2015,3,9,53.35,53.35
4/08/2015,3,10,55,55
4/08/2015,3,11,55.77,55.77
4/08/2015,3,12,61.61,61.61
4/08/2015,3,13,64.24,64.24
4/08/2015,3,14,66.22,66.22
4/08/2015,3,15,65.39,65.39
4/08/2015,3,16,64.96,64.96
4/08/2015,3,17,64.15,64.15
4/08/2015,3,18,63.99,63.99
4/08/2015,3,19,63.57,63.57
4/08/2015,3,20,62.48,62.48
4/08/2015,3,21,62.48,62.48
4/08/2015,3,22,65.72,65.72
4/08/2015,3,23,63.99,63.99
4/08/2015,3,24,59.93,59.93
4/08/2015,4,8,49,49
4/08/2015,4,9,51.1,51.1
4/08/2015,4,10,57.81,57.81
4/08/2015,4,11,59.58,59.58
4/08/2015,4,12,63.1,63.1
4/08/2015,4,13,64.17,64.17
4/08/2015,4,14,68.31,68.31
4/08/2015,4,15,67.49,67.49
4/08/2015,4,16,66.58,66.58
4/08/2015,4,17,66.31,66.31
4/08/2015,4,18,66.07,66.07
4/08/2015,4,19,66.21,66.21
4/08/2015,4,20,63.83,63.83
4/08/2015,4,21,65.09,65.09
4/08/2015,4,22,68.08,68.08
4/08/2015,4,23,66.98,66.98
4/08/2015,4,24,62.9,62.9
4/08/2015,5,12,68.46,68.46
4/08/2015,5,13,69.17,69.17
4/08/2015,5,14,69.69,69.69
4/08/2015,5,15,68.46,68.46
4/08/2015,5,16,66.96,66.96
4/08/2015,5,17,66.96,66.96
4/08/2015,5,18,66.99,66.99
4/08/2015,5,19,66.57,66.57
4/08/2015,5,20,65.48,65.48
4/08/2015,5,21,65.01,65.01
4/08/2015,5,22,67.62,67.62
4/08/2015,5,23,66.35,66.35
4/08/2015,5,24,60.69,60.69
4/08/2015,6,16,69,69
4/08/2015,6,17,69.52,69.52
4/08/2015,6,18,69.52,69.52
4/08/2015,6,19,69.44,69.44
4/08/2015,6,20,64.33,64.33
4/08/2015,6,21,66.97,66.97
4/08/2015,6,22,67.32,67.32
4/08/2015,6,23,64.4,64.4
4/08/2015,6,24,61.78,61.78
4/08/2015,7,22,69.44,69.44
4/08/2015,7,23,68.69,68.69
4/08/2015,7,24,67.9,67.9
5/08/2015,0,1,63.48,63.48
5/08/2015,0,2,58.21,58.21
5/08/2015,0,3,51,51
5/08/2015,0,4,50.13,50.13
5/08/2015,0,5,50,50
5/08/2015,0,6,50,50
5/08/2015,0,7,55.98,55.98
5/08/2015,0,8,62.47,62.47
5/08/2015,0,9,64.99,64.99
5/08/2015,0,10,67.44,67.44
5/08/2015,0,11,67.57,67.57
5/08/2015,0,12,68.56,68.56
5/08/2015,0,13,68.46,68.46
5/08/2015,0,14,67,67
5/08/2015,0,15,63.48,63.48
5/08/2015,0,16,59.7,59.7
5/08/2015,0,17,58.26,58.26
5/08/2015,0,18,60.5,60.5
5/08/2015,0,19,61.39,61.39
5/08/2015,0,20,62.47,62.47
5/08/2015,0,21,63.98,63.98
5/08/2015,0,22,68.56,68.56
5/08/2015,0,23,67.94,67.94
5/08/2015,0,24,62.93,62.93
5/08/2015,1,1,61.17,61.17
5/08/2015,1,2,60,60
5/08/2015,1,3,54.1,54.1
5/08/2015,1,4,51.13,51.13
5/08/2015,1,5,52.67,52.67
5/08/2015,1,6,51.43,51.43
5/08/2015,1,7,53.18,53.18
5/08/2015,1,8,61.47,61.47
5/08/2015,1,9,65.26,65.26
5/08/2015,1,10,68.69,68.69
5/08/2015,1,11,69.52,69.52
5/08/2015,1,12,69.52,69.52
5/08/2015,1,13,69.51,69.51
5/08/2015,1,14,67.29,67.29
5/08/2015,1,15,63.48,63.48
5/08/2015,1,16,57.5,57.5
5/08/2015,1,17,57.13,57.13
5/08/2015,1,18,60,60
5/08/2015,1,19,61.39,61.39
5/08/2015,1,20,62.47,62.47
5/08/2015,1,21,65,65
5/08/2015,1,22,69.56,69.56
5/08/2015,1,23,69.01,69.01
5/08/2015,1,24,62.93,62.93
5/08/2015,2,1,64.61,64.61
5/08/2015,2,2,61.15,61.15
5/08/2015,2,3,56.33,56.33
5/08/2015,2,4,53.13,53.13
5/08/2015,2,5,53.17,53.17
5/08/2015,2,6,53.33,53.33
5/08/2015,2,7,56.25,56.25
5/08/2015,2,8,62.47,62.47
5/08/2015,2,9,65.5,65.5
5/08/2015,2,10,68.62,68.62
5/08/2015,2,11,69.57,69.57
5/08/2015,2,12,69.52,69.52
5/08/2015,2,13,69.52,69.52
5/08/2015,2,14,67.75,67.75
5/08/2015,2,15,63.98,63.98
5/08/2015,2,16,59.7,59.7
5/08/2015,2,17,58.26,58.26
5/08/2015,2,18,61.25,61.25
5/08/2015,2,19,63.14,63.14
5/08/2015,2,20,64.22,64.22
5/08/2015,2,21,66.87,66.87
5/08/2015,2,22,70.01,70.01
5/08/2015,2,23,69.52,69.52
5/08/2015,2,24,62.93,62.93
5/08/2015,3,5,53.75,53.75
5/08/2015,3,6,53,53
5/08/2015,3,7,56.89,56.89
5/08/2015,3,8,63.94,63.94
5/08/2015,3,9,66.52,66.52
5/08/2015,3,10,69,69
5/08/2015,3,11,69.99,69.99
5/08/2015,3,12,69.76,69.76
5/08/2015,3,13,70.23,70.23
5/08/2015,3,14,69.99,69.99
5/08/2015,3,15,67.88,67.88
5/08/2015,3,16,62.73,62.73
5/08/2015,3,17,61.04,61.04
5/08/2015,3,18,64.5,64.5
5/08/2015,3,19,65.97,65.97
5/08/2015,3,20,67.05,67.05
5/08/2015,3,21,68.56,68.56
5/08/2015,3,22,70.18,70.18
5/08/2015,3,23,70.19,70.19
5/08/2015,3,24,66.04,66.04
5/08/2015,4,8,65.47,65.47
5/08/2015,4,9,68.69,68.69
5/08/2015,4,10,72.09,72.09
5/08/2015,4,11,72.45,72.45
5/08/2015,4,12,70.81,70.81
5/08/2015,4,13,70.71,70.71
5/08/2015,4,14,69.68,69.68
5/08/2015,4,15,67.9,67.9
5/08/2015,4,16,64.01,64.01
5/08/2015,4,17,62.18,62.18
5/08/2015,4,18,65.08,65.08
5/08/2015,4,19,68.69,68.69
5/08/2015,4,20,68.69,68.69
5/08/2015,4,21,68.97,68.97
5/08/2015,4,22,70.19,70.19
5/08/2015,4,23,70.19,70.19
5/08/2015,4,24,67.47,67.47
5/08/2015,5,12,67.73,67.73
5/08/2015,5,13,70,70
5/08/2015,5,14,70,70
5/08/2015,5,15,66.48,66.48
5/08/2015,5,16,59.7,59.7
5/08/2015,5,17,58.26,58.26
5/08/2015,5,18,66,66
5/08/2015,5,19,68.54,68.54
5/08/2015,5,20,68.69,68.69
5/08/2015,5,21,68.98,68.98
5/08/2015,5,22,70,70
5/08/2015,5,23,70,70
5/08/2015,5,24,66.08,66.08
5/08/2015,6,16,58.45,58.45
5/08/2015,6,17,58.26,58.26
5/08/2015,6,18,67.9,67.9
5/08/2015,6,19,70,70
5/08/2015,6,20,70,70
5/08/2015,6,21,71.35,71.35
5/08/2015,6,22,70,70
5/08/2015,6,23,70,70
5/08/2015,6,24,68,68
5/08/2015,7,22,73.33,73.33
5/08/2015,7,23,70.94,70.94
5/08/2015,7,24,68.75,68.75
6/08/2015,0,1,62.47,62.47
6/08/2015,0,2,60.98,60.98
6/08/2015,0,3,54.04,54.04
6/08/2015,0,4,51.11,51.11
6/08/2015,0,5,50.65,50.65
6/08/2015,0,6,52.67,52.67
6/08/2015,0,7,60.98,60.98
6/08/2015,0,8,62.48,62.48
6/08/2015,0,9,64.03,64.03
6/08/2015,0,10,68.1,68.1
6/08/2015,0,11,69.01,69.01
6/08/2015,0,12,69.47,69.47
6/08/2015,0,13,69.69,69.69
6/08/2015,0,14,68.77,68.77
6/08/2015,0,15,65.27,65.27
6/08/2015,0,16,62.5,62.5
6/08/2015,0,17,61.99,61.99
6/08/2015,0,18,62.47,62.47
6/08/2015,0,19,62.47,62.47
6/08/2015,0,20,61.99,61.99
